"categoria","servicio","municipio","total_usuarios_por_servicio","suma_subsidios"
"A","Bibliotecas","Samaná","253","7857559669"
"A","Bibliotecas","Chinchiná","236","7434926188"
"A","Bibliotecas","Norcasia","235","8122145377"
"A","Bibliotecas","Filadelfia","234","6973040489"
"A","Bibliotecas","Manzanares","231","6927779170"
"A","Bibliotecas","Manizales","228","7367929071"
"A","Bibliotecas","La Dorada","226","6561606053"
"A","Bibliotecas","Anserma","224","6826895515"
"A","Bibliotecas","Neira","219","6575296541"
"A","Bibliotecas","lse","218","6396748465"
"A","Bibliotecas","Aguadas","218","6606596466"
"A","Bibliotecas","Riosucio","215","6400645580"
"A","Bibliotecas","La Merced","214","6535504525"
"A","Bibliotecas","Belalcázar","214","6499989078"
"A","Bibliotecas","Supía","213","7314134270"
"A","Bibliotecas","Viterbo","211","6154530870"
"A","Bibliotecas","Villamaría","211","6384544856"
"A","Bibliotecas","Salamina","210","7110753560"
"A","Bibliotecas","Aranzazu","209","5720696576"
"A","Bibliotecas","Pácora","207","6797854948"
"A","Bibliotecas","Marmato","202","6703758379"
"A","Bibliotecas","San José","201","6257409928"
"A","Bibliotecas","Marquetalia","199","6537496072"
"A","Bibliotecas","Victoria","197","6855959391"
"A","Bibliotecas","Risaralda","192","5756948030"
"A","Bibliotecas","Marulanda","187","5607259432"
"A","Centros Rcreacionales","La Dorada","258","8114495692"
"A","Centros Rcreacionales","Aguadas","243","7965722789"
"A","Centros Rcreacionales","Pácora","239","7915463651"
"A","Centros Rcreacionales","Filadelfia","236","7634654228"
"A","Centros Rcreacionales","Chinchiná","235","6629896757"
"A","Centros Rcreacionales","Samaná","234","7543234189"
"A","Centros Rcreacionales","Anserma","230","6196749379"
"A","Centros Rcreacionales","Supía","230","7631266953"
"A","Centros Rcreacionales","Norcasia","229","7121552236"
"A","Centros Rcreacionales","La Merced","227","7050321103"
"A","Centros Rcreacionales","Villamaría","226","6752584007"
"A","Centros Rcreacionales","lse","225","6782665688"
"A","Centros Rcreacionales","Viterbo","223","6792324004"
"A","Centros Rcreacionales","Belalcázar","219","7085524334"
"A","Centros Rcreacionales","Marulanda","218","5979402838"
"A","Centros Rcreacionales","Riosucio","212","6945222127"
"A","Centros Rcreacionales","Victoria","210","7087393459"
"A","Centros Rcreacionales","Neira","209","6316581012"
"A","Centros Rcreacionales","Manzanares","209","6822256721"
"A","Centros Rcreacionales","Salamina","208","7503569152"
"A","Centros Rcreacionales","Marquetalia","206","6671361913"
"A","Centros Rcreacionales","Marmato","205","6385281063"
"A","Centros Rcreacionales","San José","203","6547874887"
"A","Centros Rcreacionales","Aranzazu","199","6241594046"
"A","Centros Rcreacionales","Manizales","190","6199850926"
"A","Centros Rcreacionales","Risaralda","175","5142925876"
"A","Creditos","Marquetalia","234","7939846136"
"A","Creditos","Neira","233","6944527212"
"A","Creditos","Chinchiná","232","6673270261"
"A","Creditos","Belalcázar","232","7305898918"
"A","Creditos","Villamaría","230","6934461798"
"A","Creditos","Norcasia","230","7262235645"
"A","Creditos","lse","229","7346454976"
"A","Creditos","San José","227","7155699696"
"A","Creditos","Manzanares","224","7360968596"
"A","Creditos","Samaná","222","6828753346"
"A","Creditos","Supía","221","6964364349"
"A","Creditos","La Dorada","219","6901185607"
"A","Creditos","Viterbo","218","6713960212"
"A","Creditos","Aranzazu","217","6564978913"
"A","Creditos","Manizales","216","6229819647"
"A","Creditos","La Merced","213","7111843068"
"A","Creditos","Risaralda","212","6535017798"
"A","Creditos","Filadelfia","211","5976238752"
